
param Vnom := 11;
param Barra_SE := 0;
     
#--------------------------------------------------------------------

param : Ob :      PD         QD     QC           Vini:=  
        0          0          0       0.000        11.0000
        1          0          0       0.000        11.0000
        2     133.84     101.14       0.000        10.9552
        3     16.214     11.292       0.000        10.9551
        4     34.315     21.845       0.000        10.9108
        5     73.016     63.602       0.000        10.9089
        6      144.2     68.604       0.000        10.9075
        7     104.47     61.725       0.000        10.9070
        8     28.547     11.503       0.000        10.9068
        9      87.56     51.073       0.000        10.9063
       10      198.2     106.77       0.000        10.9056
       11      146.8     75.995       0.000        10.8764
       12      26.04     18.687       0.000        10.8642
       13       52.1      23.22       0.000        10.8575
       14      141.9      117.5       0.000        10.8515
       15      21.87      28.79       0.000        10.8499
       16      33.37      26.45       0.000        10.8481
       17      32.43      25.23       0.000        10.8473
       18     20.234     11.906       0.000        10.8211
       19     156.94     78.523       0.000        10.7887
       20     546.29      351.4       0.000        10.7536
       21     180.31      164.2       0.000        10.7361
       22     93.167     54.594       0.000        10.7274
       23      85.18      39.65       0.000        10.6489
       24      168.1     95.178       0.000        10.6359
       25     125.11     150.22       0.000        10.6319
       26      16.03      24.62       0.000        10.6306
       27      26.03      24.62       0.000        10.6298
       29     594.56     522.62       0.000        10.8824
       30     120.62     59.117       0.000        10.8594
       31     102.38     99.554       0.000        10.7072
       32      513.4      318.5       0.000        10.5668
       33     475.25     456.14       0.000        10.5187
       34     151.43     136.79       0.000        10.4255
       35     205.38     83.302       0.000        10.3380
       36      131.6     93.082       0.000        10.2748
       37      448.4     369.79       0.000        10.6747
       38     440.52     321.64       0.000        10.6662
       40     112.54     55.134       0.000        10.7883
       41     53.963     38.998       0.000        10.7245
       42     393.05      342.6       0.000        10.6879
       43     326.74     278.56       0.000        10.6498
       44     536.26     240.24       0.000        10.5340
       45     76.247     66.562       0.000        10.5219
       46      53.52      39.76       0.000        10.5177
       47     40.328     31.964       0.000        10.5145
       48     39.653     20.758       0.000        10.5131
       49     66.195     42.361       0.000        10.2088
       50     73.904     51.653       0.000        10.1722
       51     114.77     57.965       0.000        10.1280
       52     918.37     1205.1       0.000        10.0862
       53      210.3     146.66       0.000        10.0599
       54      66.68     56.608       0.000        10.0504
       55     42.207     40.184       0.000        10.0481
       56     433.74     283.41       0.000        10.0287
       58       62.1      26.86       0.000        10.8191
       59      92.46      88.38       0.000        10.7799
       60     85.188     55.436       0.000        10.7455
       61      345.3      332.4       0.000        10.6778
       62       22.5      16.83       0.000        10.6672
       63     80.551     49.156       0.000        10.6575
       64      95.86     90.758       0.000        10.6534
       65      62.92       47.7       0.000        10.6479
       66      478.8     463.74       0.000        10.9589
       67     120.94     52.006       0.000        10.7879
       68     139.11     100.34       0.000        10.6432
       69     391.78      193.5       0.000        10.5657
       70     27.741     26.713       0.000        10.4412
       71     52.814     25.257       0.000        10.2544
       72      66.89     38.713       0.000        10.1265
       73      467.5     395.14       0.000         9.7642
       74     594.85     239.74       0.000         9.7237
       75      132.5     84.363       0.000         9.6707
       76     52.699     22.482       0.000         9.6229
       77     869.79    614.775       0.000         9.5857
       78     31.349     29.817       0.000         9.5769
       79     192.39     122.43       0.000         9.5578
       80      65.75      45.37       0.000         9.5568
       81     238.15     223.22       0.000        10.6151
       82     294.55     162.47       0.000        10.5643
       83     485.57     437.92       0.000        10.5321
       84     243.53     183.03       0.000        10.5077
       85     243.53     183.03       0.000        10.4961
       86     134.25     119.29       0.000        10.4895
       87      22.71      27.96       0.000        10.4872
       88     49.513     26.515       0.000        10.4859
       89     383.78     257.16       0.000        10.5524
       90      49.64       20.6       0.000        10.5504
       91     22.473     11.806       0.000        10.5496
       93      62.93      42.96       0.000        10.5216
       94      30.67      34.93       0.000        10.4727
       95      62.53      66.79       0.000        10.4251
       96     114.57     81.748       0.000        10.4158
       97     81.292     66.526       0.000        10.4104
       98     31.733      15.96       0.000        10.4081
       99      33.32      60.48       0.000        10.4057
      100     531.28     224.85       0.000        10.3931
      101     507.03     367.42       0.000        10.3751
      102      26.39       11.7       0.000        10.3733
      103      45.99     30.392       0.000        10.3720
      105     100.66     47.572       0.000        10.9592
      106     456.48      350.3       0.000        10.8148
      107     522.56     449.29       0.000        10.7347
      108     408.43     168.46       0.000        10.6234
      109     141.48     134.25       0.000        10.4468
      110     104.43     66.024       0.000        10.3854
      111     96.793     83.647       0.000        10.2700
      112     493.92     419.34       0.000        10.2153
      113     225.38     135.88       0.000        10.1055
      114     509.21     387.21       0.000        10.0633
      115      188.5     173.46       0.000         9.9887
      116     918.03     898.55       0.000         9.9582
      117     305.08     215.37       0.000         9.9793
      118      54.38      40.97       0.000         9.9777
      119     211.14      192.9       0.000        10.9222
      120     67.009     53.336       0.000        10.9147
      121     162.07     90.321       0.000        10.9032
      122     48.785     29.156       0.000        10.8985
      123       33.9      18.98       0.000        10.8962
     
      ;


#-----------------------------------------------------------------------

param :     Ol:       linha    R    X       Imax :=
         0       1      1          0         0   4000
         1       2      2     0.0360    0.0130   4000
         2       3      3     0.0330    0.0119   4000
         2       4      4     0.0450    0.0162   4000
         4       5      5     0.0150    0.0540   4000
         5       6      6     0.0150    0.0540   4000
         6       7      7     0.0150    0.0125   4000
         7       8      8     0.0180    0.0140   4000
         8       9      9     0.0210    0.0630   4000
         2      10     10     0.1660    0.1344   4000
        10      11     11     0.1120    0.0789   4000
        11      12     12     0.1870    0.3130   4000
        12      13     13     0.1420    0.1512   4000
        13      14     14     0.1800    0.1180   4000
        14      15     15     0.1500    0.0450   4000
        15      16     16     0.1600    0.1800   4000
        16      17     17     0.1570    0.1710   4000
        11      18     18     0.2180    0.2850   4000
        18      19     19     0.1180    0.1850   4000
        19      20     20     0.1600    0.1960   4000
        20      21     21     0.1200    0.1890   4000
        21      22     22     0.1200    0.0789   4000
        22      23     23     1.4100    0.7230   4000
        23      24     24     0.2930    0.1348   4000
        24      25     25     0.1330    0.1040   4000
        25      26     26     0.1780    0.1340   4000
        26      27     27     0.1780    0.1340   4000
         4      29     28     0.0150    0.0296   4000
        29      30     29     0.0120    0.0276   4000
        30      31     30     0.1200    0.2766   4000
        31      32     31     0.2100    0.2430   4000
        32      33     32     0.1200    0.0540   4000
        33      34     33     0.1780    0.2340   4000
        34      35     34     0.1780    0.2340   4000
        35      36     35     0.1540    0.1620   4000
        31      37     36     0.1870    0.2610   4000
        37      38     37     0.1330    0.0990   4000
        30      40     38     0.3300    0.1940   4000
        40      41     39     0.3100    0.1940   4000
        41      42     40     0.1300    0.1940   4000
        42      43     41     0.2800    0.1500   4000
        43      44     42     1.1800    0.8500   4000
        44      45     43     0.4200    0.2436   4000
        45      46     44     0.2700    0.0972   4000
        46      47     45     0.3390    0.1221   4000
        47      48     46     0.2700    0.1779   4000
        36      49     47     0.2100    0.1383   4000
        49      50     48     0.1200    0.0789   4000
        50      51     49     0.1500    0.0987   4000
        51      52     50     0.1500    0.0987   4000
        52      53     51     0.2400    0.1581   4000
        53      54     52     0.1200    0.0789   4000
        54      55     53     0.4050    0.1458   4000
        54      56     54     0.4050    0.1458   4000
        30      58     55     0.3910    0.1410   4000
        58      59     56     0.4060    0.1461   4000
        59      60     57     0.4060    0.1461   4000
        60      61     58     0.7060    0.5461   4000
        61      62     59     0.3380    0.1218   4000
        62      63     60     0.3380    0.1218   4000
        63      64     61     0.2070    0.0747   4000
        64      65     62     0.2470    0.8922   4000
         1      66     63     0.0280    0.0418   4000
        66      67     64     0.1170    0.2016   4000
        67      68     65     0.2550    0.0918   4000
        68      69     66     0.2100    0.0759   4000
        69      70     67     0.3830    0.1380   4000
        70      71     68     0.5040    0.3303   4000
        71      72     69     0.4060    0.1461   4000
        72      73     70     0.9620    0.7610   4000
        73      74     71     0.1650    0.0600   4000
        74      75     72     0.3030    0.1092   4000
        75      76     73     0.3030    0.1092   4000
        76      77     74     0.2060    0.1440   4000
        77      78     75     0.2330    0.0840   4000
        78      79     76     0.5910    0.1773   4000
        79      80     77     0.1260    0.0453   4000
        67      81     78     0.5590    0.3687   4000
        81      82     79     0.1860    0.1227   4000
        82      83     80     0.1860    0.1227   4000
        83      84     81     0.2600    0.1390   4000
        84      85     82     0.1540    0.1480   4000
        85      86     83     0.2300    0.1280   4000
        86      87     84     0.2520    0.1060   4000
        87      88     85     0.1800    0.1480   4000
        82      89     86     0.1600    0.1820   4000
        89      90     87     0.2000    0.2300   4000
        90      91     88     0.1600    0.3930   4000
        68      93     89     0.6690    0.2412   4000
        93      94     90     0.2660    0.1227   4000
        94      95     91     0.2660    0.1227   4000
        95      96     92     0.2660    0.1227   4000
        96      97     93     0.2660    0.1227   4000
        97      98     94     0.2330    0.1150   4000
        98      99     95     0.4960    0.1380   4000
        95     100     96     0.1960    0.1800   4000
       100     101     97     0.1960    0.1800   4000
       101     102     98     0.1866    0.1220   4000
       102     103     99     0.0746    0.3180   4000
         1     105    100     0.0625    0.0265   4000
       105     106    101     0.1501    0.2340   4000
       106     107    102     0.1347    0.0888   4000
       107     108    103     0.2307    0.1203   4000
       108     109    104     0.4470    0.1608   4000
       109     110    105     0.1632    0.0588   4000
       110     111    106     0.3300    0.0990   4000
       111     112    107     0.1560    0.0561   4000
       112     113    108     0.3819    0.1374   4000
       113     114    109     0.1626    0.0585   4000
       114     115    110     0.3819    0.1374   4000
       115     116    111     0.2445    0.0879   4000
       115     117    112     0.2088    0.0753   4000
       117     118    113     0.2301    0.0828   4000
       105     119    114     0.6102    0.2196   4000
       119     120    115     0.1866    0.1270   4000
       120     121    116     0.3732    0.2460   4000
       121     122    117     0.4050    0.3670   4000
       122     123    118     0.4890    0.4380   4000
       
        48      27    119     0.5258    0.2925   4000
        17      27    120     0.5258    0.2916   4000
         8      24    121     0.4272    0.1539   4000
        56      45    122     0.4800    0.1728   4000
        65      56    123     0.3600    0.1296   4000
        38      65    124     0.5700    0.5720   4000
         9      42    125     0.5300    0.3348   4000
        61     100    126     0.3957    0.1425   4000
        76      95    127     0.6800    0.6480   4000
        91      78    128     0.4062    0.1464   4000
       103      80    129     0.4626    0.1674   4000
       113      86    130     0.6510    0.2340   4000
       110      89    131     0.8125    0.2925   4000
       115     123    132     0.7089    0.2553   4000
        25      36    133     0.5000    0.5000   4000
            
;
   
#--------------------------------------------------------------------------------  
#fixar a magnitude de tensao da subestaçaoao no valor nominal
fix  { i in Ob: i == Barra_SE}
      Vsqr[i] := Vnom^2;

#--------------------------------------------------------------------------------
#fixar a injecao de potencia ativa no no de carga igual a zero
    fix  {i in Ob: i != Barra_SE }
   PS[i] := 0;

#--------------------------------------------------------------------------------
#fixar a injecao de potencia reativa no no de carga igual a zero
    fix  {i in Ob: i != Barra_SE }
   QS[i] := 0;

#--------------------------------------------------------------------------------
#normalizacao e calculo da impedancia ao quadrado

for {(i,j) in Ol} {
let R[i,j] := R[i,j] / 1000;
let X[i,j] := X[i,j] / 1000;
let Z2[i,j] := (R[i,j])^2 + (X[i,j])^2 ;
};

#--------------------------------------------------------------------------------

let Vmax   := Vnom * 1.0;
let Vmin   := Vnom * 0.9565;


# Linearizacao
for{(i,j) in Ol}{
let DS[i,j] := (Vmax * Imax[i,j]) / Y;

for {y in 1..Y}{
let ms[i,j,y] := (2*y-1)*DS[i,j];
}
let ms[i,j,1] := ms[i,j,1] * 5/6;
}
