param Vnom := 12.66;
		
param : Ot:   Ki   Si   Ti :=
		1	  1    1.0  1;#8760;	
#-----------------------------------------------------------------------

param : Ob :   Tb      PD            QD            QC:= 
         1     1      0.000000      0.000000      0.000000
		 2     0      0.000000      0.000000      0.000000
		 3     0      0.000000      0.000000      0.000000
		 4     0      0.000000      0.000000      0.000000
		 5     0      0.000000      0.000000      0.000000
		 6     0      2.600000      2.200000      0.000000
		 7     0     40.400000     30.000000      0.000000
		 8     0     75.000000     54.000000      0.000000
		 9     0     30.000000     22.000000      0.000000
		10     0     28.000000     19.000000      0.000000
		11     0    145.000000    104.000000      0.000000
		12     0    145.000000    104.000000      0.000000
		13     0      8.000000      5.500000      0.000000
		14     0      8.000000      5.500000      0.000000
		15     0      0.000000      0.000000      0.000000
		16     0     45.500000     30.000000      0.000000
		17     0     60.000000     35.000000      0.000000
		18     0     60.000000     35.000000      0.000000
		19     0      0.000000      0.000000      0.000000
		20     0      1.000000      0.600000      0.000000
		21     0    114.000000     81.000000      0.000000
		22     0      5.300000      3.500000      0.000000
		23     0      0.000000      0.000000      0.000000
		24     0     28.000000     20.000000      0.000000
		25     0      0.000000      0.000000      0.000000
		26     0     14.000000     10.000000      0.000000
		27     0     14.000000     10.000000      0.000000
		28     0     26.000000     18.600000      0.000000
		29     0     26.000000     18.600000      0.000000
		30     0      0.000000      0.000000      0.000000
		31     0      0.000000      0.000000      0.000000
		32     0      0.000000      0.000000      0.000000
		33     0     14.000000     10.000000      0.000000
		34     0     19.500000     14.000000      0.000000
		35     0      6.000000      4.000000      0.000000
		36     0     26.000000     18.550000      0.000000
		37     0     26.000000     18.550000      0.000000
		38     0      0.000000      0.000000      0.000000
		39     0     24.000000     17.000000      0.000000
		40     0     24.000000     17.000000      0.000000
		41     0      1.200000      1.000000      0.000000
		42     0      0.000000      0.000000      0.000000
		43     0      6.000000      4.300000      0.000000
		44     0      0.000000      0.000000      0.000000
		45     0     39.220000     26.300000      0.000000
		46     0     39.220000     26.300000      0.000000
		47     0      0.000000      0.000000      0.000000
		48     0     79.000000     56.400000      0.000000
		49     0    384.700000    274.500000      0.000000
		50     0    384.700000    274.500000      0.000000
		51     0     40.500000     28.300000      0.000000
		52     0      3.600000      2.700000      0.000000
		53     0      4.350000      3.500000      0.000000
		54     0     26.400000     19.000000      0.000000
		55     0     24.000000     17.200000      0.000000
		56     0      0.000000      0.000000      0.000000
		57     0      0.000000      0.000000      0.000000
		58     0      0.000000      0.000000      0.000000
		59     0    100.000000     72.000000      0.000000
		60     0      0.000000      0.000000      0.000000
		61     0   1244.000000    888.000000      0.000000
		62     0     32.000000     23.000000      0.000000
		63     0      0.000000      0.000000      0.000000
		64     0    227.000000    162.000000      0.000000
		65     0     59.000000     42.000000      0.000000
		66     0     18.000000     13.000000      0.000000
		67     0     18.000000     13.000000      0.000000
		68     0     28.000000     20.000000      0.000000
		69     0     28.000000     20.000000      0.000000;
 
param :     Ol: 	  linea         R           X   	     Imax :=
         1      2        1        0.000500     0.001200      1000
		 2      3        2        0.000500     0.001200      1000
		 3      4        3        0.001500     0.003600      1000
		 4      5        4        0.025100     0.029400      1000
